METEO,FONDOST,LUCE,LOCINC,TIPOST,INTNIN,NATINC,DUERUOTE,INCBICI,INCPED,SEGNAL,PAVIM,FASCIA_ORARIA,GRAVITA
0,0,3,5,1,5,3,0,0,0,3,0,Mattina,1
6,0,3,5,2,4,4,0,0,0,2,0,Pomeriggio,1
6,0,3,5,1,4,4,0,0,0,3,0,Pomeriggio,1
0,1,3,5,0,5,4,0,0,0,3,0,Pomeriggio,1
0,0,3,5,0,4,4,0,0,0,3,0,Mattina,1
0,0,3,5,1,4,4,0,0,0,3,0,Notte,1
0,0,3,5,0,4,0,1,0,0,3,0,Mattina,1
0,0,3,5,0,4,1,0,0,0,3,0,Sera,1
0,0,3,5,0,4,4,0,0,0,3,0,Mattina,1
0,1,3,3,1,4,1,0,0,0,3,0,Pomeriggio,1
0,0,3,5,1,4,3,0,0,0,3,0,Notte,1
2,1,3,2,1,4,0,0,0,0,1,0,Notte,1
0,0,3,5,2,4,4,1,0,0,3,0,Mattina,1
0,0,3,5,2,4,1,0,0,0,0,0,Mattina,1
0,0,3,5,0,4,1,0,0,0,0,0,Sera,1
0,0,3,4,1,5,3,0,0,0,1,0,Sera,1
0,0,3,5,2,4,4,0,0,0,3,0,Mattina,1
0,0,3,4,1,4,4,0,0,0,3,0,Notte,1
0,0,3,5,1,2,4,0,0,0,3,0,Pomeriggio,1
0,0,3,5,1,4,1,0,0,0,1,0,Mattina,1
2,1,3,5,1,4,4,0,0,0,2,0,Sera,1
0,0,3,5,1,5,4,0,0,0,3,0,Mattina,1
0,0,3,2,1,4,4,0,0,0,3,0,Pomeriggio,1
0,0,3,1,1,3,2,0,0,1,3,0,Pomeriggio,1
0,0,3,5,1,3,0,0,0,0,3,0,Sera,1
0,0,3,5,1,4,4,0,0,0,3,0,Mattina,1
0,0,3,5,1,4,3,0,0,0,2,0,Notte,1
0,0,3,4,1,5,3,1,0,0,3,0,Mattina,1
2,1,3,5,1,4,3,0,0,0,1,0,Sera,1
0,0,3,5,2,4,1,0,0,0,3,0,Notte,1
0,0,3,5,2,4,4,0,0,0,2,0,Sera,1
0,0,3,5,0,4,1,0,0,0,3,0,Notte,1
0,1,3,5,1,4,3,0,0,0,3,0,Sera,1
0,0,3,5,1,4,0,0,0,0,0,0,Mattina,2
0,1,3,4,1,5,4,0,0,0,0,0,Mattina,1
0,0,3,4,1,5,0,1,1,0,0,0,Mattina,1
0,0,3,4,1,0,4,0,0,0,1,0,Mattina,1
0,0,3,5,1,5,4,0,0,0,1,0,Notte,1
0,0,3,4,1,0,4,0,0,0,3,0,Mattina,1
0,0,3,4,1,4,1,0,0,0,3,0,Pomeriggio,1
0,0,3,5,1,4,4,0,0,0,0,0,Mattina,1
