ID_Segmento,ANNO,NUM_INCIDENTI,MORTI,FERITI,LOCINC,INTNIN,FONDOST,LUNGHEZZA,MAXSPEED
3194120,2017,1,0,1,1,7,1,64.32,50
3194120,2020,1,0,1,1,7,1,64.32,50
3194125,2021,1,0,1,1,1,1,438.607,50
3194140,2017,2,0,4,6,7,1,343.142,90
3194140,2019,2,0,2,6,7,1,343.142,90
9346375,2020,1,0,1,2,7,1,69.749,50
14347631,2016,1,0,1,1,7,2,43.225,50
15024055,2016,1,0,1,1,1,1,50.338,50
15024055,2019,1,0,3,1,1,1,50.338,50
15024055,2020,1,0,1,1,1,1,50.338,50
15024055,2021,3,0,10,1,1,1,50.338,50
21131442,2017,1,0,4,6,7,1,151.345,90
21131442,2019,3,0,3,6,7,1,151.345,90
21131442,2020,2,1,3,6,7,1,151.345,90
21134228,2017,1,0,2,2,7,1,19.746,50
21134228,2021,1,0,1,2,7,1,19.746,50
21134231,2017,1,0,4,5,7,1,111.28900000000002,90
21134231,2019,1,0,1,5,7,1,111.28900000000002,90
22157183,2016,1,0,1,1,7,1,176.45200000000003,50
22157183,2018,2,0,4,1,7,1,176.45200000000003,50
22157183,2020,1,0,1,1,7,1,176.45200000000003,50
22157188,2019,1,0,1,6,7,1,459.467,90
22157193,2021,1,0,1,6,7,1,1076.755,90
22157194,2018,1,0,1,6,8,2,252.935,90
22157194,2019,1,0,3,6,8,2,252.935,90
22157194,2020,1,0,1,6,8,2,252.935,90
22653409,2016,1,0,1,7,8,1,324.81,130
23023329,2019,1,0,2,6,7,1,1748.1660000000004,90
23023331,2019,1,0,1,7,7,1,12282.607,130
23032833,2016,1,0,1,6,7,1,64.337,90
23032844,2017,1,0,4,5,8,1,43.8,90
23032896,2018,1,0,1,1,7,1,7.011,50
23033025,2017,1,0,2,1,7,1,280.17,50
23033026,2016,1,0,2,1,4,1,43.905,50
23033026,2019,1,0,1,1,4,1,43.905,50
23041963,2021,1,0,1,5,7,2,141.774,90
23055657,2018,1,0,1,6,8,1,213.907,90
23055657,2019,3,0,4,6,8,1,213.907,90
23067745,2016,3,0,6,1,7,1,113.819,50
23067745,2017,1,0,2,1,7,1,113.819,50
23067745,2018,1,0,2,1,7,1,113.819,50
23067842,2019,1,0,2,7,7,1,74.505,130
23072092,2019,1,0,2,1,7,2,146.368,50
23072280,2020,1,0,2,5,9,1,574.213,90
23072340,2019,1,0,2,7,7,1,428.859,130
23072340,2020,1,0,3,7,7,1,428.859,130
23072480,2016,1,0,2,5,7,1,12581.163000000004,90
23072480,2018,1,0,3,5,7,1,12581.163000000004,90
23072480,2021,1,0,3,5,7,1,12581.163000000004,90
23167546,2021,1,0,4,5,7,1,3449.071,90
23167567,2019,1,0,5,5,7,1,51.917,90
23167568,2016,1,1,0,5,7,1,35.606,90
23167630,2018,1,0,2,5,7,1,59.163,90
23167631,2018,1,0,1,4,1,1,102.984,90
23167767,2018,1,0,3,5,1,1,175.098,90
23167767,2019,1,0,1,5,1,1,175.098,90
23167767,2020,1,0,2,5,1,1,175.098,90
23167768,2016,1,0,6,6,7,1,487.985,90
23167770,2016,2,0,3,2,1,1,2305.369,50
23167770,2017,1,0,1,2,1,1,2305.369,50
23167794,2018,1,0,3,1,7,1,88.362,50
23167816,2018,1,0,1,6,3,1,190.572,90
23167833,2017,1,0,1,5,8,1,8009.763000000001,90
23167833,2019,1,1,4,5,8,1,8009.763000000001,90
23167833,2021,2,0,4,5,8,1,8009.763000000001,90
23179739,2021,1,1,1,5,7,2,2014.283,90
23179753,2017,1,0,1,5,7,2,77.43200000000002,90
23179754,2016,1,0,1,5,7,1,2478.578,90
23179754,2017,2,1,5,5,7,1,2478.578,90
23179754,2019,2,0,6,5,7,1,2478.578,90
23179754,2020,3,0,4,5,7,1,2478.578,90
23190326,2018,1,0,1,6,3,1,301.223,90
23375392,2019,2,0,2,1,7,1,58.442,50
23375392,2020,1,0,2,1,7,1,58.442,50
23375392,2021,1,0,3,1,7,1,58.442,50
23375394,2017,1,0,1,1,1,1,42.97,50
23375394,2019,2,0,4,1,1,1,42.97,50
23375400,2017,1,0,2,1,1,1,50.04,50
23375400,2019,1,0,1,1,1,1,50.04,50
23375400,2021,2,0,2,1,1,1,50.04,50
23375474,2021,1,0,1,1,7,1,63.051,50
23375476,2018,1,0,1,1,3,1,30.968,50
23375476,2021,1,0,1,1,3,1,30.968,50
23375560,2016,1,0,1,1,1,1,64.779,50
23375560,2019,2,0,2,1,1,1,64.779,50
23375560,2020,1,0,4,1,1,1,64.779,50
23375563,2021,1,0,3,1,7,1,229.08,50
23375839,2018,1,0,2,1,1,1,41.865,50
23375839,2019,1,0,1,1,1,1,41.865,50
23375839,2020,1,0,1,1,1,1,41.865,50
23375839,2021,1,0,4,1,1,1,41.865,50
23376046,2019,1,0,3,1,7,1,57.354,50
23376185,2021,1,0,1,1,5,1,4.811,50
23376263,2016,1,0,3,1,1,1,28.394,50
23376263,2019,3,0,4,1,1,1,28.394,50
23376263,2020,1,0,3,1,1,1,28.394,50
23376428,2016,3,0,3,1,1,1,49.794,50
23376428,2017,1,0,2,1,1,1,49.794,50
23376428,2018,1,0,1,1,1,1,49.794,50
23376428,2019,4,0,7,1,1,1,49.794,50
23376428,2020,2,0,2,1,1,1,49.794,50
23376428,2021,3,0,6,1,1,1,49.794,50
23401989,2016,8,1,23,5,7,1,8.3,90
23401989,2017,3,0,4,5,7,1,8.3,90
23401989,2018,1,0,2,5,7,1,8.3,90
23401989,2021,1,0,1,5,7,1,8.3,90
23433040,2019,1,0,1,5,7,1,3132.054,90
23433042,2016,1,0,4,5,8,1,290.438,90
23433189,2021,2,0,4,1,1,1,27.557,50
23433192,2016,1,0,1,1,7,1,82.373,50
23433192,2017,2,0,2,1,7,1,82.373,50
23433193,2018,1,0,2,5,7,1,17.205,90
23433371,2017,2,0,4,1,1,1,290.128,50
23433371,2020,1,0,1,1,1,1,290.128,50
23433371,2021,1,0,2,1,1,1,290.128,50
23433548,2019,1,0,1,1,7,1,45.348,50
23433686,2016,3,0,5,1,7,1,135.592,50
23433686,2017,2,0,3,1,7,1,135.592,50
23433686,2018,1,0,2,1,7,1,135.592,50
23433686,2019,1,1,1,1,7,1,135.592,50
23433686,2020,2,0,7,1,7,1,135.592,50
23433694,2018,1,0,1,1,1,1,17.373,50
23433696,2020,1,0,1,5,7,1,12.751,90
23433818,2016,1,0,1,1,7,1,87.653,50
23433818,2017,2,0,3,1,7,1,87.653,50
23433818,2021,1,0,1,1,7,1,87.653,50
23434711,2017,1,0,2,5,1,1,2807.068,90
23434711,2018,2,0,4,5,1,1,2807.068,90
23434711,2020,2,0,4,5,1,1,2807.068,90
23434713,2021,3,1,6,5,7,1,48.08,90
23434715,2017,2,0,9,1,7,1,66.258,50
23434715,2018,1,0,1,1,7,1,66.258,50
23435289,2016,1,0,1,6,3,1,282.014,90
23436637,2016,2,1,2,6,4,1,354.998,90
23436643,2016,2,0,6,1,7,1,138.342,50
23436643,2019,2,0,5,1,7,1,138.342,50
23436643,2020,1,0,1,1,7,1,138.342,50
23436643,2021,1,0,1,1,7,1,138.342,50
23441412,2018,1,0,2,1,7,2,53.623,50
23441413,2018,1,1,0,1,3,1,108.535,50
23441413,2019,1,0,1,1,3,1,108.535,50
23441413,2020,1,0,1,1,3,1,108.535,50
23441414,2017,3,0,4,1,1,1,75.851,50
23441414,2018,1,0,2,1,1,1,75.851,50
23441414,2019,1,0,1,1,1,1,75.851,50
23441414,2021,2,0,4,1,1,1,75.851,50
23441418,2016,1,0,2,1,1,1,44.023,50
23441418,2018,1,0,2,1,1,1,44.023,50
23441421,2016,1,0,1,1,1,1,75.41,50
23441421,2017,1,0,2,1,1,1,75.41,50
23441421,2019,1,0,5,1,1,1,75.41,50
23441421,2020,1,0,1,1,1,1,75.41,50
23441422,2016,1,0,1,1,1,1,50.216,50
23441422,2021,1,0,1,1,1,1,50.216,50
23441423,2016,1,0,6,1,4,1,65.885,50
23441423,2019,1,0,1,1,4,1,65.885,50
23441580,2020,1,0,2,5,7,1,339.50300000000004,90
23614174,2018,1,0,1,1,8,1,4.348,50
23614186,2017,1,0,1,2,8,1,15.197,50
23614206,2021,1,0,3,5,7,1,42.334,90
23614532,2018,1,0,1,2,8,2,112.664,50
23614763,2016,1,0,2,5,7,1,22.237,90
23614929,2020,1,0,1,5,7,1,38.842,90
23614929,2021,1,0,1,5,7,1,38.842,90
23614937,2021,1,0,2,1,1,1,45.707,50
23615130,2017,1,0,2,6,7,1,139.055,90
23615216,2016,1,0,4,6,7,1,422.074,90
23615216,2019,2,0,2,6,7,1,422.074,90
23615220,2018,1,0,4,6,7,1,487.12,90
23615220,2019,1,0,2,6,7,1,487.12,90
23615223,2020,1,0,1,6,7,1,219.993,90
23615223,2021,2,0,2,6,7,1,219.993,90
23681070,2017,1,0,1,6,7,2,2540.1220000000003,90
23681224,2016,1,0,2,1,1,1,203.795,50
23681224,2018,1,0,1,1,1,1,203.795,50
23681387,2016,1,0,2,1,7,1,95.398,50
23681387,2021,2,0,2,1,7,1,95.398,50
23748043,2018,1,0,4,5,8,1,4342.594,90
23748043,2019,1,0,2,5,8,1,4342.594,90
23750464,2019,1,2,4,5,7,1,2899.697,90
23794690,2019,1,0,2,1,1,1,25.569000000000003,50
23857116,2016,1,0,2,5,7,1,5.442,90
23857116,2017,2,0,3,5,7,1,5.442,90
23857116,2018,1,0,1,5,7,1,5.442,90
23857116,2019,1,0,4,5,7,1,5.442,90
23857124,2016,1,0,3,5,7,1,210.815,90
23857124,2021,1,0,2,5,7,1,210.815,90
23857131,2016,1,0,2,5,7,1,485.404,90
23857131,2017,1,0,1,5,7,1,485.404,90
23857131,2020,2,0,6,5,7,1,485.404,90
23857131,2021,4,0,12,5,7,1,485.404,90
23857133,2017,1,0,1,5,1,1,70.536,90
23857133,2020,1,0,1,5,1,1,70.536,90
23857136,2016,2,0,3,1,7,1,16.573,50
23857136,2018,1,0,3,1,7,1,16.573,50
23857136,2019,2,0,2,1,7,1,16.573,50
23857136,2021,1,0,1,1,7,1,16.573,50
23857137,2016,1,0,5,1,1,1,80.44,50
23857137,2018,1,0,1,1,1,1,80.44,50
23857144,2019,1,0,1,5,7,1,1751.401,90
23857144,2020,1,0,2,5,7,1,1751.401,90
23857144,2021,1,0,3,5,7,1,1751.401,90
23857145,2017,1,1,1,5,7,1,146.513,90
23857147,2017,1,0,1,1,8,3,63.485,50
23857149,2016,2,0,5,1,1,1,168.2,50
23857149,2020,3,0,4,1,1,1,168.2,50
23857149,2021,1,0,1,1,1,1,168.2,50
23857157,2017,1,0,3,6,9,1,389.763,90
23857158,2020,1,0,2,1,7,1,89.92699999999999,50
23858381,2017,1,0,2,5,1,1,121.469,90
23858381,2018,1,0,2,5,1,1,121.469,90
23861823,2017,1,0,1,5,7,2,724.4379999999999,90
23990726,2016,1,0,1,4,7,2,983.565,90
24267630,2018,1,0,3,6,7,1,916.166,90
24267630,2019,1,0,3,6,7,1,916.166,90
24370578,2017,1,0,1,1,3,1,392.0820000000001,50
24383840,2017,1,0,2,1,1,1,26.936,50
24383840,2020,1,0,1,1,1,1,26.936,50
24383840,2021,1,0,1,1,1,1,26.936,50
24384538,2016,1,0,1,1,7,1,142.699,50
24384538,2017,1,0,1,1,7,1,142.699,50
24384539,2017,1,0,2,1,1,1,231.108,50
24384539,2018,2,0,3,1,1,1,231.108,50
24384539,2019,1,0,1,1,1,1,231.108,50
24384539,2020,2,0,2,1,1,1,231.108,50
24384539,2021,1,0,1,1,1,1,231.108,50
24397786,2016,2,0,2,1,1,1,68.545,50
24397786,2017,2,0,4,1,1,1,68.545,50
24397786,2018,3,0,4,1,1,1,68.545,50
24397786,2019,4,0,5,1,1,1,68.545,50
24397786,2020,1,0,1,1,1,1,68.545,50
24397786,2021,2,0,3,1,1,1,68.545,50
24397790,2020,1,0,2,1,7,1,36.488,50
24397794,2017,1,0,2,1,1,1,25.164,50
24397794,2018,2,0,2,1,1,1,25.164,50
24397794,2019,2,0,2,1,1,1,25.164,50
24409713,2017,1,0,3,2,1,1,6.226,50
24428237,2017,1,0,2,5,7,1,401.582,90
24428237,2018,1,0,1,5,7,1,401.582,90
24428237,2019,1,0,2,5,7,1,401.582,90
24428313,2018,1,0,2,5,10,1,29.125,90
24432006,2018,1,0,1,4,7,2,24.951,90
24432009,2019,1,0,1,5,3,1,127.925,90
24432011,2016,2,0,3,1,3,1,95.4,50
24432011,2020,1,0,2,1,3,1,95.4,50
24432699,2018,1,0,2,5,7,1,556.78,90
24432699,2019,2,0,4,5,7,1,556.78,90
24479195,2018,1,0,1,7,7,1,191.288,130
24479309,2016,1,0,1,5,1,1,43.733,90
24479309,2017,1,0,1,5,1,1,43.733,90
24479309,2019,1,0,2,5,1,1,43.733,90
24480295,2017,1,0,5,1,3,1,10.287,50
24490955,2016,1,0,2,1,7,1,98.675,50
24491775,2017,1,0,1,1,3,1,23.184,50
24491775,2019,1,0,2,1,3,1,23.184,50
24491777,2020,1,0,1,1,1,1,36.399,50
24505773,2016,1,0,1,5,7,1,59.685,90
24505899,2021,1,0,2,4,7,1,130.338,90
24518846,2017,1,0,1,1,1,1,22.103,50
24518846,2020,1,0,1,1,1,1,22.103,50
24518846,2021,1,0,1,1,1,1,22.103,50
24518918,2018,1,0,1,1,1,1,46.566,50
24518918,2019,1,0,1,1,1,1,46.566,50
24522696,2016,1,0,1,1,1,1,63.547,50
24522696,2018,2,0,3,1,1,1,63.547,50
24522696,2019,1,0,1,1,1,1,63.547,50
24522696,2020,1,0,1,1,1,1,63.547,50
24522696,2021,1,0,1,1,1,1,63.547,50
24522720,2016,2,0,2,1,4,1,36.624,50
24522720,2017,1,0,5,1,4,1,36.624,50
24522720,2018,2,0,3,1,4,1,36.624,50
24522720,2019,1,0,2,1,4,1,36.624,50
24522720,2021,1,0,1,1,4,1,36.624,50
24522792,2016,2,0,2,1,7,1,73.045,50
24522792,2018,1,0,1,1,7,1,73.045,50
24522792,2020,1,0,1,1,7,1,73.045,50
24531981,2021,1,0,3,1,8,1,110.35,50
24535411,2018,1,0,1,1,7,1,32.38,50
24535411,2019,1,0,1,1,7,1,32.38,50
24535411,2021,1,0,2,1,7,1,32.38,50
24535413,2016,1,0,4,1,1,1,34.418,50
24535413,2017,1,0,1,1,1,1,34.418,50
24535413,2019,1,0,3,1,1,1,34.418,50
24535972,2017,1,0,2,1,1,1,20.273,50
24535972,2018,2,0,3,1,1,1,20.273,50
24535972,2020,1,0,1,1,1,1,20.273,50
24546187,2016,2,0,3,1,3,1,504.912,50
24546187,2017,3,0,11,1,3,1,504.912,50
24546187,2019,1,0,1,1,3,1,504.912,50
24546221,2017,1,0,3,5,8,2,1158.302,90
24546344,2016,1,0,5,1,1,1,124.322,50
24546344,2017,1,0,1,1,1,1,124.322,50
24546344,2018,2,0,2,1,1,1,124.322,50
24567845,2019,1,0,1,1,7,1,137.622,50
24567845,2020,1,0,1,1,7,1,137.622,50
24567846,2018,1,0,1,1,7,1,9.646,50
24567871,2017,1,0,1,1,5,1,51.586,50
24567871,2021,1,0,2,1,5,1,51.586,50
24568177,2018,2,0,5,1,3,1,59.628,50
24568177,2019,1,0,1,1,3,1,59.628,50
24568203,2019,1,0,4,1,1,1,63.527,50
24578348,2017,1,0,1,1,7,1,11.739999999999998,50
24578348,2018,1,0,1,1,7,1,11.739999999999998,50
24578348,2020,1,0,1,1,7,1,11.739999999999998,50
24601556,2016,1,0,1,1,1,1,58.696,50
24601556,2017,1,0,1,1,1,1,58.696,50
24601565,2017,1,0,2,1,7,1,45.156,50
24601581,2016,1,0,1,1,1,1,25.418,50
24601581,2021,1,0,1,1,1,1,25.418,50
24601582,2019,1,0,2,1,5,1,65.053,50
24601597,2016,2,0,3,1,1,1,24.286,50
24615283,2017,1,0,1,1,1,1,54.159,50
24615283,2020,1,0,2,1,1,1,54.159,50
24615303,2016,1,0,2,1,1,1,7.476,50
24615303,2020,1,0,2,1,1,1,7.476,50
24615303,2021,1,0,1,1,1,1,7.476,50
24615333,2017,1,0,1,1,7,2,34.977,50
24615393,2018,1,0,2,1,2,1,9.526,50
24615393,2019,1,0,1,1,2,1,9.526,50
24615393,2020,1,0,1,1,2,1,9.526,50
24615556,2016,1,0,2,1,7,1,117.581,50
24616170,2019,1,0,3,1,1,2,63.687000000000005,50
24616170,2021,1,0,1,1,1,2,63.687000000000005,50
24638219,2017,1,0,2,1,7,1,158.06,50
24638219,2021,1,0,1,1,7,1,158.06,50
24638228,2016,1,0,4,1,1,1,74.104,50
24638228,2017,2,0,2,1,1,1,74.104,50
24638228,2018,1,0,1,1,1,1,74.104,50
24638228,2021,2,0,3,1,1,1,74.104,50
24638276,2017,1,0,1,1,7,1,12.522,50
24638327,2017,1,0,3,1,3,1,53.601,50
24673810,2021,2,0,4,1,2,1,17.797,50
24704724,2018,2,0,3,1,1,1,25.611,50
24704724,2019,1,0,1,1,1,1,25.611,50
24704724,2020,1,0,1,1,1,1,25.611,50
24704724,2021,2,0,3,1,1,1,25.611,50
24704856,2017,1,0,1,1,1,1,248.113,50
24704856,2021,1,0,1,1,1,1,248.113,50
24704875,2016,1,0,1,1,1,1,49.113,50
24704875,2020,1,0,1,1,1,1,49.113,50
24704875,2021,2,0,3,1,1,1,49.113,50
24704879,2021,1,0,1,1,7,1,121.292,50
24704921,2019,2,0,3,1,4,1,50.525,50
24704921,2020,1,0,2,1,4,1,50.525,50
24704921,2021,4,0,5,1,4,1,50.525,50
24709230,2017,2,0,4,1,1,1,51.537000000000006,50
24709230,2018,1,0,1,1,1,1,51.537000000000006,50
24741134,2017,5,0,6,1,1,1,37.192,50
24741134,2018,1,0,1,1,1,1,37.192,50
24741134,2019,1,0,1,1,1,1,37.192,50
24741134,2021,1,0,1,1,1,1,37.192,50
24768786,2016,1,0,1,5,7,1,2886.883,90
24768786,2019,1,0,1,5,7,1,2886.883,90
24768786,2021,1,0,1,5,7,1,2886.883,90
24812471,2017,2,0,4,1,1,1,115.102,50
24814241,2016,1,0,1,5,7,1,70.967,90
24822810,2017,1,0,1,1,1,2,60.413,50
24824127,2017,1,0,1,1,7,1,152.752,50
24824129,2018,1,0,1,1,7,1,64.508,50
24824178,2016,1,0,1,1,1,1,23.32,50
24824410,2020,2,0,2,1,1,1,25.186,50
24824941,2020,1,0,1,1,1,1,45.988,50
24831171,2019,1,0,3,1,1,1,37.412,50
24842154,2021,1,0,1,1,7,1,56.983,50
24844324,2018,1,0,1,1,1,1,8.929,50
24844324,2019,1,0,1,1,1,1,8.929,50
24844329,2016,1,0,1,1,1,1,16.622999999999998,50
24844329,2019,1,0,1,1,1,1,16.622999999999998,50
24844497,2021,1,0,1,1,7,1,237.111,50
24844620,2021,1,0,1,5,7,1,372.777,90
24844651,2017,1,0,1,1,1,1,27.076,50
24844651,2019,1,0,2,1,1,1,27.076,50
24844651,2020,2,0,2,1,1,1,27.076,50
24844651,2021,1,0,4,1,1,1,27.076,50
24848760,2017,1,0,1,4,7,1,9.735,90
24884016,2016,1,0,1,1,7,1,177.45499999999998,50
24884016,2018,1,0,1,1,7,1,177.45499999999998,50
24884016,2020,1,0,1,1,7,1,177.45499999999998,50
24884016,2021,5,0,5,1,7,1,177.45499999999998,50
24884036,2017,1,0,1,1,1,1,50.862,50
24884036,2018,3,0,3,1,1,1,50.862,50
24884036,2021,3,0,5,1,1,1,50.862,50
24884041,2018,1,0,2,1,7,1,100.78,50
24884042,2017,1,0,1,1,1,1,77.59,50
24884042,2018,3,0,3,1,1,1,77.59,50
24884042,2019,1,0,1,1,1,1,77.59,50
24884043,2017,2,0,2,1,1,1,177.09,50
24884043,2018,2,0,2,1,1,1,177.09,50
24884043,2020,2,0,2,1,1,1,177.09,50
24884043,2021,3,0,3,1,1,1,177.09,50
24884052,2016,2,0,2,1,7,1,95.033,50
24884052,2017,6,0,6,1,7,1,95.033,50
24884052,2018,4,0,6,1,7,1,95.033,50
24884052,2019,4,0,4,1,7,1,95.033,50
24884052,2020,1,0,1,1,7,1,95.033,50
24884052,2021,2,0,2,1,7,1,95.033,50
