ID_Segmento,ANNO,NUM_INCIDENTI,MORTI,FERITI,LOCINC,INTNIN,FONDOST,LUNGHEZZA
3194120,2017,1,0,1,1,7,1,64.32
3194120,2020,1,0,1,1,7,1,64.32
3194125,2021,1,0,1,1,1,1,438.607
3194140,2017,2,0,4,6,7,1,343.142
3194140,2019,2,0,2,6,7,1,343.142
9346375,2020,1,0,1,2,7,1,69.749
14347631,2016,1,0,1,1,7,2,43.225
15024055,2016,1,0,1,1,1,1,50.338
15024055,2019,1,0,3,1,1,1,50.338
15024055,2020,1,0,1,1,1,1,50.338
15024055,2021,3,0,10,1,1,1,50.338
21131442,2017,1,0,4,6,7,1,151.345
21131442,2019,3,0,3,6,7,1,151.345
21131442,2020,2,1,3,6,7,1,151.345
21134228,2017,1,0,2,2,7,1,19.746
21134228,2021,1,0,1,2,7,1,19.746
21134231,2017,1,0,4,5,7,1,111.28900000000002
21134231,2019,1,0,1,5,7,1,111.28900000000002
22157183,2016,1,0,1,1,7,1,176.45200000000003
22157183,2018,2,0,4,1,7,1,176.45200000000003
22157183,2020,1,0,1,1,7,1,176.45200000000003
22157188,2019,1,0,1,6,7,1,459.467
22157193,2021,1,0,1,6,7,1,1076.755
22157194,2018,1,0,1,6,8,2,252.935
22157194,2019,1,0,3,6,8,2,252.935
22157194,2020,1,0,1,6,8,2,252.935
22653409,2016,1,0,1,7,8,1,324.81
23023329,2019,1,0,2,6,7,1,1748.1660000000004
23023331,2019,1,0,1,7,7,1,12282.607
23032833,2016,1,0,1,6,7,1,64.337
23032844,2017,1,0,4,5,8,1,43.8
23032896,2018,1,0,1,1,7,1,7.011
23033025,2017,1,0,2,1,7,1,280.17
23033026,2016,1,0,2,1,4,1,43.905
23033026,2019,1,0,1,1,4,1,43.905
23041963,2021,1,0,1,5,7,2,141.774
23055657,2018,1,0,1,6,8,1,213.907
23055657,2019,3,0,4,6,8,1,213.907
23067745,2016,3,0,6,1,7,1,113.819
23067745,2017,1,0,2,1,7,1,113.819
23067745,2018,1,0,2,1,7,1,113.819
23067842,2019,1,0,2,7,7,1,74.505
23072092,2019,1,0,2,1,7,2,146.368
23072280,2020,1,0,2,5,9,1,574.213
23072340,2019,1,0,2,7,7,1,428.859
23072340,2020,1,0,3,7,7,1,428.859
23072480,2016,1,0,2,5,7,1,12581.163000000004
23072480,2018,1,0,3,5,7,1,12581.163000000004
23072480,2021,1,0,3,5,7,1,12581.163000000004
23167546,2021,1,0,4,5,7,1,3449.071
23167567,2019,1,0,5,5,7,1,51.917
23167568,2016,1,1,0,5,7,1,35.606
23167630,2018,1,0,2,5,7,1,59.163
23167631,2018,1,0,1,4,1,1,102.984
23167767,2018,1,0,3,5,1,1,175.098
23167767,2019,1,0,1,5,1,1,175.098
23167767,2020,1,0,2,5,1,1,175.098
23167768,2016,1,0,6,6,7,1,487.985
23167770,2016,2,0,3,2,1,1,2305.369
23167770,2017,1,0,1,2,1,1,2305.369
23167794,2018,1,0,3,1,7,1,88.362
23167816,2018,1,0,1,6,3,1,190.572
23167833,2017,1,0,1,5,8,1,8009.763000000001
23167833,2019,1,1,4,5,8,1,8009.763000000001
23167833,2021,2,0,4,5,8,1,8009.763000000001
23179739,2021,1,1,1,5,7,2,2014.283
23179753,2017,1,0,1,5,7,2,77.43200000000002
23179754,2016,1,0,1,5,7,1,2478.578
23179754,2017,2,1,5,5,7,1,2478.578
23179754,2019,2,0,6,5,7,1,2478.578
23179754,2020,3,0,4,5,7,1,2478.578
23190326,2018,1,0,1,6,3,1,301.223
23375392,2019,2,0,2,1,7,1,58.442
23375392,2020,1,0,2,1,7,1,58.442
23375392,2021,1,0,3,1,7,1,58.442
23375394,2017,1,0,1,1,1,1,42.97
23375394,2019,2,0,4,1,1,1,42.97
23375400,2017,1,0,2,1,1,1,50.04
23375400,2019,1,0,1,1,1,1,50.04
23375400,2021,2,0,2,1,1,1,50.04
23375474,2021,1,0,1,1,7,1,63.051
23375476,2018,1,0,1,1,3,1,30.968
23375476,2021,1,0,1,1,3,1,30.968
23375560,2016,1,0,1,1,1,1,64.779
23375560,2019,2,0,2,1,1,1,64.779
23375560,2020,1,0,4,1,1,1,64.779
23375563,2021,1,0,3,1,7,1,229.08
23375839,2018,1,0,2,1,1,1,41.865
23375839,2019,1,0,1,1,1,1,41.865
23375839,2020,1,0,1,1,1,1,41.865
23375839,2021,1,0,4,1,1,1,41.865
23376046,2019,1,0,3,1,7,1,57.354
23376185,2021,1,0,1,1,5,1,4.811
23376263,2016,1,0,3,1,1,1,28.394
